mm_install_cohort,release_det_deadline_yr,n_ty_release_det,n_ty_spill_overfill,n_ty_integrity,n_tanks
1940,1989,1312,3146,2276,1312
1941,1989,423,785,485,423
1942,1989,380,721,420,380
1943,1989,328,701,337,328
1944,1989,243,528,305,243
1945,1989,528,1182,788,528
1946,1989,1621,3045,2414,1621
1947,1989,700,1410,1076,700
1948,1989,697,1157,783,697
1949,1989,703,1314,955,703
1950,1989,3027,7112,5277,3027
1951,1989,2039,3714,2651,2039
1952,1989,1274,2517,1662,1274
1953,1989,1519,2828,1813,1519
1954,1989,1833,3318,2172,1833
1955,1989,2334,4558,3120,2334
1956,1989,7407,12962,9182,7407
1957,1989,2418,4601,3116,2418
1958,1989,2601,4911,3408,2601
1959,1989,3047,5666,3944,3047
1960,1989,6210,12590,9052,6210
1961,1989,10153,17729,12718,10153
1962,1989,3697,6715,4398,3697
1963,1989,4471,8456,5820,4471
1964,1989,11506,21067,11863,11505
1965,1990,14139,14244,9338,7385
1966,1990,45865,43635,30912,24396
1967,1990,12287,12244,8352,6448
1968,1990,20660,20665,13885,10778
1969,1990,20423,19200,12474,10943
1970,1991,24374,17343,11732,8923
1971,1991,76497,53755,37492,28053
1972,1991,41000,30329,20544,14713
1973,1991,34618,24659,16212,12475
1974,1991,57124,41380,27385,20674
1975,1992,55976,32815,21428,15653
1976,1992,114826,67017,46229,32402
1977,1992,55641,33948,23577,15206
1978,1992,85690,52437,36813,23474
1979,1992,76248,46052,31953,21019
1980,1993,131289,67197,44284,29480
1981,1993,120518,62599,45876,27030
1982,1993,103958,55576,42608,22726
1983,1993,108291,58755,46080,23454
1984,1993,113631,62705,50144,24222
1985,1993,136488,76562,63644,28713
1986,1993,102484,58290,50382,21380
1987,1993,167429,85860,66786,37909
1988,1993,110012,63293,57098,22759
